iter	Logloss
0	0.6626866261
1	0.6322779283
2	0.5981883642
3	0.5804055182
4	0.5703344666
5	0.56477781
6	0.5486754619
7	0.5467048839
8	0.5404807524
9	0.5353114207
10	0.5335680821
11	0.5295322892
12	0.5279098674
13	0.5220763207
14	0.5213400371
15	0.5196244327
16	0.5139208302
17	0.5090082274
18	0.508212012
19	0.5073633374
20	0.5023945641
21	0.5007412988
22	0.4986629439
23	0.4978486737
24	0.4969048104
25	0.4942483518
26	0.4934933113
27	0.4914778472
28	0.4910030067
29	0.4902451577
30	0.4890145746
31	0.4879735666
32	0.4844271081
33	0.4831802255
34	0.4826481615
35	0.4815775135
36	0.4809229779
37	0.4802418617
38	0.4786121679
39	0.4780444958
40	0.4778012077
41	0.4767953564
42	0.4759888097
43	0.473391029
44	0.4728779726
45	0.4720435914
46	0.4713599174
47	0.468736158
48	0.4681593081
49	0.4666105598
50	0.4660642525
51	0.4656319912
52	0.4651926083
53	0.4640570134
54	0.4634213851
55	0.4623946705
56	0.4619035306
57	0.4603507199
58	0.4596578681
59	0.4583809444
60	0.4580897611
61	0.4570527151
62	0.456476467
63	0.4560533835
64	0.4555188119
65	0.4552821941
66	0.4542546268
67	0.4537382604
68	0.4533693412
69	0.4525258324
70	0.4513035745
71	0.4509689093
72	0.4505473304
73	0.4500849778
74	0.4496718746
75	0.4487742014
76	0.4463128848
77	0.4458894502
78	0.4455565905
79	0.4450897242
80	0.4438407353
81	0.443426629
82	0.442888647
83	0.4421219211
84	0.4412859852
85	0.4404655964
86	0.4400269658
87	0.4393195698
88	0.4377909827
89	0.4373511986
90	0.4369661305
91	0.4364536257
92	0.4358798351
93	0.4354635221
94	0.4347127446
95	0.4341516424
96	0.4338685336
97	0.4335729369
98	0.4330408728
99	0.4326738594
100	0.4322792624
101	0.4319171138
102	0.4304600436
103	0.4298228105
104	0.4280890509
105	0.4276448033
106	0.4271396208
107	0.4265401522
108	0.4262026283
109	0.4252396069
110	0.4248499247
111	0.4245584405
112	0.4242172555
113	0.4239709583
114	0.4232257978
115	0.4224287298
116	0.4217054356
117	0.421345594
118	0.4205278633
119	0.4198381209
120	0.4188232923
121	0.4184753368
122	0.4181310423
123	0.417637796
124	0.417257041
125	0.4161635989
126	0.4153619921
127	0.4145455153
128	0.4137666274
129	0.4133506154
130	0.4130258803
131	0.4126513943
132	0.4122795914
133	0.4118273946
134	0.411429337
135	0.4095767922
136	0.4091369579
137	0.4086431097
138	0.4078348077
139	0.4074811348
140	0.4072131719
141	0.4068311881
142	0.4061571182
143	0.4055346299
144	0.4051380769
145	0.4048368631
146	0.4045191493
147	0.4042440648
148	0.4034759847
149	0.402376725
150	0.4019254811
151	0.4015267215
152	0.4009033554
153	0.4006616221
154	0.4001376576
155	0.3994061134
156	0.3989353603
157	0.3985402617
158	0.3981074237
159	0.3977971575
160	0.3975776666
161	0.3969352929
162	0.3964626591
163	0.3958846557
164	0.3953477269
165	0.3950781842
166	0.3947606459
167	0.3945285919
168	0.3938607911
169	0.3933627051
170	0.3930513606
171	0.3927427243
172	0.3925115731
173	0.3921331752
174	0.3918092676
175	0.3912880865
176	0.3903327635
177	0.3898335491
178	0.3894908093
179	0.3889775523
180	0.3876364088
181	0.38729728
182	0.3869104566
183	0.3865454994
184	0.3861059661
185	0.3856705702
186	0.3853198062
187	0.3847848333
188	0.3844230859
189	0.3840529129
190	0.383694626
191	0.3833174819
192	0.3821846704
193	0.3818652264
194	0.3814659401
195	0.3811451419
196	0.3809321458
197	0.3806367246
198	0.3801670999
199	0.3796668574
