iter	Passed	Remaining
0	3	685
1	7	696
2	10	680
3	14	694
4	18	702
5	21	679
6	24	674
7	27	654
8	30	649
9	34	659
10	38	662
11	42	662
12	45	650
13	49	655
14	52	644
15	56	647
16	59	639
17	63	641
18	66	635
19	70	633
20	73	628
21	77	628
22	81	623
23	84	620
24	87	614
25	91	610
26	95	608
27	98	606
28	102	602
29	105	595
30	108	592
31	112	591
32	116	588
33	119	582
34	122	579
35	126	577
36	130	574
37	133	570
38	137	565
39	140	562
40	144	559
41	147	554
42	150	549
43	154	546
44	157	541
45	160	538
46	164	534
47	167	530
48	171	527
49	175	525
50	178	520
51	180	514
52	184	511
53	187	507
54	190	503
55	194	499
56	197	494
57	200	490
58	204	488
59	207	484
60	211	481
61	215	480
62	219	477
63	224	476
64	227	472
65	231	469
66	235	466
67	238	462
68	241	458
69	244	454
70	248	450
71	251	447
72	254	443
73	258	439
74	261	435
75	264	431
76	268	428
77	271	424
78	274	420
79	277	416
80	281	413
81	284	409
82	288	406
83	291	401
84	294	398
85	298	395
86	302	392
87	305	389
88	309	385
89	313	382
90	316	379
91	320	376
92	323	372
93	327	368
94	330	365
95	333	361
96	336	357
97	340	354
98	343	350
99	347	347
100	350	343
101	354	340
102	357	337
103	362	334
104	365	330
105	369	327
106	372	323
107	377	321
108	381	318
109	385	315
110	390	312
111	394	309
112	397	305
113	400	302
114	403	298
115	408	295
116	411	292
117	415	288
118	418	284
119	422	281
120	426	278
121	429	274
122	433	271
123	436	267
124	440	264
125	443	260
126	447	256
127	449	253
128	453	249
129	457	246
130	460	242
131	464	239
132	467	235
133	471	232
134	475	228
135	478	225
136	482	221
137	486	218
138	489	215
139	493	211
140	496	207
141	500	204
142	503	200
143	507	197
144	510	193
145	514	190
146	518	186
147	521	183
148	524	179
149	527	175
150	531	172
151	534	168
152	538	165
153	542	161
154	545	158
155	549	154
156	552	151
157	556	147
158	559	144
159	563	140
160	567	137
161	570	133
162	574	130
163	577	126
164	581	123
165	585	119
166	588	116
167	592	112
168	596	109
169	599	105
170	603	102
171	606	98
172	610	95
173	614	91
174	617	88
175	620	84
176	623	81
177	627	77
178	630	74
179	633	70
180	637	66
181	640	63
182	644	59
183	647	56
184	650	52
185	653	49
186	657	45
187	660	42
188	663	38
189	666	35
190	670	31
191	674	28
192	677	24
193	680	21
194	684	17
195	689	14
196	692	10
197	696	7
198	699	3
199	703	0
