iter	Logloss
0	0.6862535814
1	0.6771858964
2	0.6674525812
3	0.6580955991
4	0.6458806232
5	0.6362639129
6	0.6280677921
7	0.6234292863
8	0.6179141725
9	0.613338719
10	0.6060566008
11	0.6021170774
12	0.5962914459
13	0.5885150893
14	0.5807647883
15	0.5755870331
16	0.5731912768
17	0.56695382
18	0.5600842308
19	0.5561526726
20	0.5515105929
21	0.5479844075
22	0.544676297
23	0.5392881483
24	0.5357638366
25	0.534507337
26	0.5302335911
27	0.5268047106
28	0.523431957
29	0.5198856583
30	0.5156350862
31	0.5136422235
32	0.5123904674
33	0.5092649417
34	0.507893055
35	0.5056180146
36	0.5027193941
37	0.4993882296
38	0.4968858658
39	0.4944575118
40	0.4926881637
41	0.4903334021
42	0.4888067552
43	0.4873717028
44	0.4863425036
45	0.4842875127
46	0.4822723909
47	0.4792062117
48	0.4781622562
49	0.4767990892
50	0.475638014
51	0.4732984581
52	0.4724675625
53	0.4714467312
54	0.4697485436
55	0.468705494
56	0.466335121
57	0.4646831628
58	0.4632323867
59	0.4621795082
60	0.4614029947
61	0.4602209411
62	0.4588194739
63	0.4579571147
64	0.4570294191
65	0.4560652974
66	0.4550537289
67	0.4539578434
68	0.4529801082
69	0.4519308102
70	0.4508355635
71	0.4486498142
72	0.4476098949
73	0.4463109454
74	0.4449177096
75	0.4441354039
76	0.4436836976
77	0.4427058924
78	0.4417288011
79	0.4408179917
80	0.4404067734
81	0.4397367243
82	0.4388044494
83	0.4378782337
84	0.4375005217
85	0.4369014963
86	0.4362486992
87	0.4350580014
88	0.4342311655
89	0.4335549544
90	0.4330604039
91	0.4321260855
92	0.4313447658
93	0.4306735845
94	0.4300223143
95	0.4291893238
96	0.4286045627
97	0.4277394744
98	0.4268179317
99	0.4263276985
