iter	Passed	Remaining
0	5	5102
1	10	5105
2	15	5309
3	22	5480
4	27	5503
5	34	5741
6	39	5551
7	44	5553
8	50	5601
9	56	5597
10	64	5786
11	69	5753
12	75	5700
13	80	5655
14	86	5678
15	91	5647
16	97	5632
17	103	5631
18	109	5671
19	115	5647
20	120	5633
21	126	5619
22	130	5562
23	136	5554
24	142	5566
25	148	5577
26	154	5561
27	160	5558
28	165	5532
29	170	5500
30	176	5501
31	182	5516
32	187	5499
33	192	5482
34	199	5493
35	204	5487
36	210	5479
37	216	5480
38	222	5494
39	227	5471
40	232	5445
41	239	5453
42	245	5466
43	251	5471
44	259	5501
45	265	5502
46	271	5506
47	277	5505
48	283	5495
49	288	5489
50	293	5468
51	299	5455
52	305	5462
53	313	5500
54	319	5491
55	324	5478
56	329	5453
57	334	5435
58	339	5419
59	346	5425
60	352	5420
61	358	5423
62	365	5431
63	370	5422
64	375	5399
65	381	5393
66	389	5422
67	395	5424
68	401	5414
69	405	5393
70	410	5372
71	416	5372
72	424	5390
73	430	5381
74	434	5359
75	439	5338
76	444	5328
77	449	5314
78	458	5349
79	465	5358
80	470	5339
81	475	5327
82	480	5314
83	486	5310
84	491	5295
85	496	5281
86	501	5263
87	506	5247
88	512	5243
89	520	5267
90	526	5256
91	531	5242
92	536	5230
93	541	5222
94	546	5209
95	552	5204
96	558	5202
97	563	5188
98	568	5171
99	573	5165
100	578	5151
101	584	5145
102	589	5136
103	595	5126
104	599	5110
105	604	5097
106	609	5088
107	615	5083
108	620	5075
109	626	5065
110	631	5057
111	636	5046
112	641	5036
113	647	5030
114	655	5048
115	662	5047
116	667	5038
117	674	5045
118	681	5047
119	698	5120
120	704	5117
121	709	5108
122	716	5105
123	721	5095
124	726	5087
125	731	5074
126	737	5067
127	742	5060
128	747	5050
129	754	5048
130	759	5035
131	763	5023
132	769	5015
133	775	5012
134	782	5012
135	787	5000
136	791	4987
137	797	4981
138	803	4977
139	809	4973
140	815	4970
141	823	4973
142	828	4963
143	834	4960
144	840	4958
145	847	4959
146	853	4951
147	858	4940
148	865	4941
149	871	4938
150	877	4934
151	883	4926
152	887	4915
153	893	4906
154	898	4899
155	905	4897
156	911	4892
157	915	4881
158	921	4873
159	927	4868
160	935	4876
161	941	4871
162	947	4865
163	953	4858
164	959	4856
165	965	4849
166	971	4844
167	977	4840
168	982	4831
169	987	4820
170	994	4818
171	1000	4814
172	1005	4806
173	1010	4798
174	1015	4788
175	1020	4779
176	1027	4777
177	1036	4785
178	1042	4782
179	1049	4781
180	1055	4776
181	1060	4766
182	1066	4763
183	1072	4758
184	1077	4746
185	1082	4738
186	1088	4733
187	1093	4722
188	1098	4715
189	1105	4711
190	1109	4700
191	1114	4691
192	1121	4688
193	1127	4683
194	1132	4675
195	1139	4672
196	1144	4663
197	1148	4653
198	1155	4650
199	1161	4646
200	1166	4635
201	1170	4623
202	1175	4613
203	1180	4604
204	1185	4597
205	1190	4587
206	1195	4579
207	1199	4568
208	1203	4556
209	1208	4548
210	1213	4538
211	1219	4531
212	1224	4523
213	1229	4515
214	1234	4507
215	1242	4508
216	1246	4499
217	1251	4490
218	1258	4487
219	1262	4476
220	1266	4465
221	1272	4459
222	1277	4449
223	1282	4443
224	1288	4438
225	1294	4432
226	1298	4421
227	1303	4413
228	1308	4405
229	1314	4399
230	1318	4390
231	1324	4382
232	1329	4376
233	1333	4366
234	1339	4359
235	1359	4401
236	1364	4391
237	1368	4382
238	1373	4373
239	1378	4366
240	1383	4358
241	1388	4349
242	1392	4339
243	1397	4328
244	1403	4324
245	1408	4316
246	1413	4308
247	1418	4302
248	1423	4294
249	1428	4285
250	1436	4285
251	1443	4283
252	1448	4275
253	1453	4269
254	1457	4259
255	1462	4250
256	1467	4243
257	1473	4236
258	1478	4229
